Date,Open,High,Low,Close,Volume,Adj Close,Daily_Return,Log_Return,MA_20,MA_50,Volatility_20,Price_Change
2020-01-02,74.05999755859375,75.1500015258789,73.79750061035156,75.0875015258789,135480400,72.3338623046875,,,,,,
2020-01-03,74.2874984741211,75.1449966430664,74.125,74.35749816894531,146322800,71.63064575195312,-0.00972203551987938,-0.00976960306049766,,,,0.7300033569335938
2020-01-06,73.44750213623047,74.98999786376953,73.1875,74.94999694824219,118387200,72.20140075683594,0.007968245219206693,0.00793666639423103,,,,0.592498779296875
2020-01-07,74.95999908447266,75.2249984741211,74.37000274658203,74.59750366210938,108872000,71.86184692382812,-0.0047030460371630944,-0.004714140155944748,,,,0.3524932861328125
2020-01-08,74.29000091552734,76.11000061035156,74.29000091552734,75.79750061035156,132079200,73.01783752441406,0.016086288271489613,0.015958274951065204,,,,1.1999969482421875
2020-01-09,76.80999755859375,77.60749816894531,76.55000305175781,77.40750122070312,170108400,74.56879425048828,0.021240813976545425,0.021018372269413728,,,,1.6100006103515625
2020-01-10,77.6500015258789,78.1675033569336,77.0625,77.5824966430664,140644800,74.73735809326172,0.0022607036734636488,0.0022581521277163447,,,,0.17499542236328125
2020-01-13,77.91000366210938,79.26750183105469,77.7874984741211,79.23999786376953,121532000,76.33409881591797,0.02136437073337283,0.021139351847751234,,,,1.657501220703125
2020-01-14,79.17500305175781,79.39250183105469,78.0425033569336,78.16999816894531,161954400,75.3033218383789,-0.013503277683875936,-0.013595276063127494,,,,1.0699996948242188
2020-01-15,77.9625015258789,78.875,77.38749694824219,77.83499908447266,121923600,74.98062133789062,-0.004285519922216707,-0.0042947290828305364,,,,0.33499908447265625
2020-01-16,78.39749908447266,78.92500305175781,78.02249908447266,78.80999755859375,108829200,75.91987609863281,0.012526478905240834,0.012448671661775561,,,,0.9749984741210938
2020-01-17,79.06749725341797,79.68499755859375,78.75,79.68250274658203,137816400,76.7603530883789,0.011070996257037002,0.011010161368047904,,,,0.8725051879882812
2020-01-21,79.29750061035156,79.75499725341797,79.0,79.14250183105469,110843200,76.24015808105469,-0.006776907061324833,-0.006799974572640368,,,,0.5400009155273438
2020-01-22,79.6449966430664,79.99749755859375,79.32749938964844,79.42500305175781,101832400,76.51231384277344,0.003569526034268966,0.003563170396134458,,,,0.282501220703125
2020-01-23,79.4800033569336,79.88999938964844,78.9124984741211,79.80750274658203,104472000,76.88079071044922,0.004815859995308536,0.0048043008382272516,,,,0.38249969482421875
2020-01-24,80.0625,80.8324966430664,79.37999725341797,79.57749938964844,146537600,76.65923309326172,-0.002881976618964499,-0.002886137509897144,,,,0.23000335693359375
2020-01-27,77.51499938964844,77.94249725341797,76.22000122070312,77.23750305175781,161940000,74.40504455566406,-0.029405250929448234,-0.029846252008602123,,,,2.339996337890625
2020-01-28,78.1500015258789,79.5999984741211,78.04750061035156,79.42250061035156,162234000,76.5098876953125,0.02828933448469395,0.02789658121117404,,,,2.18499755859375
2020-01-29,81.11250305175781,81.9625015258789,80.34500122070312,81.08499908447266,216229200,78.11141967773438,0.020932336067801982,0.020716264770759222,,,,1.6624984741210938
2020-01-30,80.13500213623047,81.02249908447266,79.6875,80.96749877929688,126743200,77.99822998046875,-0.0014491004070108504,-0.0014501513684274283,78.00912513732911,,,0.11750030517578125
2020-01-31,80.23249816894531,80.66999816894531,77.07250213623047,77.37750244140625,199588400,74.5398941040039,-0.04433873334381144,-0.04535175229956047,78.12362518310547,,0.01778648984303875,3.589996337890625
2020-02-03,76.07499694824219,78.37249755859375,75.55500030517578,77.16500091552734,173788400,74.33518981933594,-0.0027462960056099384,-0.002750073995055365,78.26400032043458,,0.017620847754372948,0.21250152587890625
2020-02-04,78.82749938964844,79.91000366210938,78.40750122070312,79.7125015258789,136616400,76.78927612304688,0.03301367951955725,0.03248043256633249,78.5021255493164,,0.018876742035461882,2.5475006103515625
2020-02-05,80.87999725341797,81.19000244140625,79.73750305175781,80.36250305175781,118826800,77.41542053222656,0.008154323518098083,0.008121256659034517,78.79037551879883,,0.018815891869828447,0.6500015258789062
2020-02-06,80.64250183105469,81.30500030517578,80.06500244140625,81.30249786376953,105425600,78.32096099853516,0.011696932976394514,0.011629052670693696,79.06562538146973,,0.018692210843257447,0.9399948120117188
2020-02-07,80.59249877929688,80.8499984741211,79.5,80.00749969482422,117684000,77.2563705444336,-0.015928147387491265,-0.016056363648111773,79.19562530517578,,0.018702406909817015,1.2949981689453125
2020-02-10,78.54499816894531,80.38749694824219,78.4625015258789,80.38749694824219,109348800,77.623291015625,0.0047495204183034545,0.004738277032606629,79.33587532043457,,0.01871485677314896,0.37999725341796875
2020-02-11,80.9000015258789,80.9749984741211,79.67749786376953,79.90249633789062,94323200,77.15496826171875,-0.006033284139495332,-0.006051557935993908,79.36900024414062,,0.018215127798875037,0.4850006103515625
2020-02-12,80.36750030517578,81.80500030517578,80.36750030517578,81.80000305175781,113730400,78.98723602294922,0.023747777614394394,0.02347018535435549,79.55050048828124,,0.018596111713851938,1.8975067138671875
2020-02-13,81.04750061035156,81.55500030517578,80.8375015258789,81.21749877929688,94747600,78.42474365234375,-0.007121078859769314,-0.007146554757796865,79.71962547302246,,0.018659918730181455,0.5825042724609375
2020-02-14,81.18499755859375,81.49500274658203,80.7125015258789,81.23750305175781,80113600,78.44406127929688,0.0002463049559713326,0.0002462746278855343,79.84100074768067,,0.018503503942742913,0.0200042724609375
